ID,Title,Journal,Year,Cited,Last Updated,Type of survey,Field of application,Site name,Country,Duration (days),# snapshots,Frequency (snapshot/day),ERT layout,Buried,Surface (m),Electrode spacing (m) ,Config Elec,Nb Elec,Resistivimeter
Bevcs et al. (1991),Borehole-to-surface electrical resistivity monitoring of a salt water injection experiment,Geophysics,1991,156,5/26/2021,,Contaminant monitoring,,USA,,,,,,,,,1,
Daily et al. (1992),Electrical resistivity tomography of vadose water movement,Water Resources Research,1992,629,6/8/2021,Semi-permanent study,Hydrogeology,,USA,72,15,5,2D borehole,Yes,20 m x 12 m,6,4 boreholes x 8 elec,32,
Kalinski et al. (1993),Electrical resistivity measurements to estimate travel times through unsaturated ground water protective layers,Journal of Applied Geophysics,1993,63,6/8/2021,,Hydrogeology,,USA,,,,,,,,,1,
Ramirez et al. (1993),Monitoring an underground steam injection process using electrical resistance tomography,Water Resources Research,1993,218,5/26/2021,,Contaminant monitoring,,USA,,,,,,,,,1,
White (1994),Electrode arrays for measuring groundwater flow direction and velocity,Geophysics,1994,98,6/8/2021,,Hydrogeology,,Nouvelle-Zeleand,,,,,,,,,1,
Daily et al. (1995),Electrical resistance tomography during in-situ trichloroethylene remediation at the Savannah River Site,Journal of Applied Geophysics,1995,163,5/26/2021,Semi-permanent study,Contaminant monitoring,,USA,300,5,60,2D surface + borehole,Yes,30 m x 60 m,3,5 boreholes x 21 elec + 4 x 4 surface elec,109,?
Daily et al. (1995),Electrical resistance tomography experiments at the Oregon Graduate Institute,Journal of Applied Geophysics,1995,103,6/8/2021,Artificial conditions,Hydrogeology,Oregon Graduate Institute,USA,1,,,2D borehole,Yes,10 x 5,0.5,3 boreholes x 14 elec,42,?
Osiensky et al. (1995),Electrical flow through an aquifer for contaminant source leak detection and delineation of plume evolution,Journal of Hydrology,1995,48,5/26/2021,,Contaminant monitoring,,USA,,,,,,,,,,
Binley et al. (1996),Flow pathways in porous media: electrical resistance tomography and dye staining image verificatio,Measurement Science and Technology,1996,103,5/26/2021,,Contaminant monitoring,,UK,,,,,,,,,1,
Binley et al. (1996),Examination of solute transport in an undisturbed soil column using electrical resistance tomography,Water Resources Research,1996,205,5/26/2021,,Contaminant monitoring,,UK,,,,,,,,,1,
Johansson et al. (1996),Seepage monitoring in an earth embankment dam by repeated resistivity measurements,European Journal of Engineering and Environmental Geophysics,1996,102,6/8/2021,Semi-permanent study,Geotechnics,Lovon,Sweden,540,8,68,2D surface ,Yes,450 m,5,6 sections of 21 elec ,126,ABEM
LaBrecque et al. (1996),ERT monitoring of environmental remediation processes,Measurement Science and Technology,1996,149,5/26/2021,,Contaminant monitoring,,USA,,,,,,,,,1,
Morris et al. (1996),Geoelectric monitoring of a tracer injection experiment: modeling  interpretation,Journal of Environmental and Engineering Geophysics,1996,21,5/26/2021,,Contaminant monitoring,,,,,,,,,,,,
Ramirez et al. (1996),Detection of leaks in underground storage tanks using electrical resistance methods,Journal of Environmental and Engineering Geophysics,1996,176,5/26/2021,,Contaminant monitoring,,USA,,,,,,,,,1,
Slater et al. (1997),Electrical imaging of saline tracer migration for the investigation of unsaturated zone transport mechanisms,Hydrology and Earth System Sciences Discussions,1997,55,5/26/2021,,Contaminant monitoring,,UK,,,,,,,,,1,
Slater et al. (1997),Electrical imaging of fractures using ground‐water salinity change,Groundwater,1997,105,6/8/2021,,Contaminant monitoring,,UK,,,,,,,,,1,
White et al. (1997),Electrical leak detection system for landfill liners: a case history,Groundwater Monitoring & Remediation,1997,70,6/8/2021,,Contaminant monitoring,,UK,,,,,,,,,,
Barker et al. (1998),The application of time-lapse electrical tomography in groundwater studies,The Leading Edge,1998,188,6/8/2021,,Hydrogeology,,UK,,,,,,,,,1,
Park (1998),Fluid migration in the vadose zone from 3-D inversion of resistivity monitoring data,Geophysics,1998,142,5/27/2021,Semi-permanent study,Contaminant monitoring,,USA,50,5,10,3D surface,No,200 m x 200 m,50,5 x 5 electrode grid,25,
al Hagrey et al. (1999),"Resistivity and percolation study of preferential flow in vadose zone at Bokhorst, Germany",Geophysics,1999,86,6/8/2021,,Hydrogeology,,Germany,,,,,,,,,1,
West et al. (1999),Resistivity imaging of soil during electrokinetic transport,Engineering Geology,1999,39,6/8/2021,,Contaminant monitoring,,UK,,,,,,,,,,
Aristodemou et al. (2000),DC resistivity and induced polarisation investigations at a waste disposal site and its environments,Journal of Applied Geophysics,2000,222,5/26/2021,Regular measurements,Contaminant monitoring,,UK,,,,,,,,,,
Daily et al. (2000),Electrical imaging of engineered hydraulic barriers,Geophysics,2000,150,6/8/2021,,Hydrogeology,,UK,,,,,,,,,,
Slater et al. (2000),Cross-hole electrical imaging of a controlled saline tracer injection,Journal of Applied Geophysics,2000,407,5/26/2021,,Contaminant monitoring,,USA,,,,,,,,,1,
